1,Kill Yourself (Part III),$uicideBoy$,.
2,Paris,$uicideBoy$,.
3,Bigger Than You (feat. Drake & Quavo),2 Chainz,.
4,It's A Vibe,2 Chainz,.
5,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,.
6,Rule The World (feat. Ariana Grande),2 Chainz,.
7,Whip (feat. Travis Scott),2 Chainz,.
8,1.5,21 Savage,.
9,a lot,21 Savage,.
10,all my friends,21 Savage,.
11,ball w/o you,21 Savage,.
12,Bank Account,21 Savage,.
13,can't leave without it,21 Savage,.
14,Ghostface Killers,21 Savage,.
15,monster,21 Savage,.
16,X (feat. Future),21 Savage,.
17,All Eyez On Me,2Pac,.
18,Ambitionz Az A Ridah,2Pac,.
19,Kryptonite,3 Doors Down,.
20,What's Up?,4 Non Blondes,.
21,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,.
22,Youngblood,5 Seconds of Summer,.
23,Candy Shop,50 Cent,.
24,BEBE (feat. Anuel Aa),6ix9ine,.
25,BILLY,6ix9ine,.
26,FEFE (feat. Nicki Minaj Murda Beatz),6ix9ine,.
27,GOTTI,6ix9ine,.
28,KIKA (feat. Tory Lanez),6ix9ine,.
29,MALA (feat. Anuel Aa),6ix9ine,.
30,MAMA (feat. Nicki Minaj Kanye West),6ix9ine,.
31,STOOPID (feat. Bobby Shmurda),6ix9ine,.
32,TATI (feat. DJ SpinKing),6ix9ine,.
33,TIC TOC (feat. Lil Baby),6ix9ine,.
34,WAKA (feat. A Boogie Wit da Hoodie),6ix9ine,.
35,PRBLMS,6LACK,.
36,Pretty Little Fears (feat. J. Cole),6LACK,.
37,Come Closer (feat. Queen Naija),A Boogie Wit da Hoodie,.
38,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,.
39,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,.
40,Just Like Me (feat. Young Thug),A Boogie Wit da Hoodie,.
41,Look Back At It,A Boogie Wit da Hoodie,.
42,Love Drugs and Sex,A Boogie Wit da Hoodie,.
43,Skeezers,A Boogie Wit da Hoodie,.
44,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,.
45,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,.
46,Say Something,A Great Big World,.
47,Plain Jane,A$AP Ferg,.
48,F**kin' Problems (feat. Drake 2 Chainz & Kendrick Lamar),A$AP Rocky,.
49,L$D,A$AP Rocky,.
50,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,.
51,Sundress,A$AP Rocky,.
52,Back In Black,AC/DC,.
53,Highway to Hell,AC/DC,.
54,T.N.T.,AC/DC,.
55,Thunderstruck,AC/DC,.
56,You Shook Me All Night Long,AC/DC,.
57,Someone Like You,Adele,.
58,Dream On,Aerosmith,.
59,I Don't Want to Miss a Thing,Aerosmith,.
60,Take on Me,a-ha,.
61,Vas A Quedarte,Aitana,.
62,If We Have Each Other,Alec Benjamin,.
63,Let Me Down Slowly,Alec Benjamin,.
64,Let Me Down Slowly (feat. Alessia Cara),Alec Benjamin,.
65,Me DediquÃ© a Perderte,Alejandro Fernandez,.
66,RucÃ³n,Aleman,.
67,REMEDY,Alesso,.
68,Little Do You Know,Alex & Sierra,.
69,If I Ain't Got You,Alicia Keys,.
70,No One,Alicia Keys,.
71,Fading,Alle Farben,.
72,La Cintura,Alvaro Soler,.
73,Baby,Amenazzy,.
74,A Horse with No Name,America,.
75,Best Day Of My Life,American Authors,.
76,Caroline,AminÃ©,.
77,Invincible,AminÃ©,.
78,REEL IT IN,AminÃ©,.
79,REEL IT IN (feat. Gucci Mane) - Remix,AminÃ©,.
80,Back To Black,Amy Winehouse,.
81,Downtown,Anitta,.
82,Terremoto,Anitta,.
83,Veneno,Anitta,.
84,2002,Anne-Marie,.
85,Perfect To Me,Anne-Marie,.
86,Supernova,Ansel Elgort,.
87,Amanece,Anuel Aa,.
88,Ella Quiere Beber - Remix,Anuel Aa,.
89,Secreto,Anuel Aa,.
90,Do I Wanna Know?,Arctic Monkeys,.
91,R U Mine?,Arctic Monkeys,.
92,Why'd You Only Call Me When You're High?,Arctic Monkeys,.
93,Shea Butter Baby (with J. Cole),Ari Lennox,.
94,7 rings,Ariana Grande,.
95,bad idea,Ariana Grande,.
96,bloodline,Ariana Grande,.
97,Break Free,Ariana Grande,.
98,break up with your girlfriend i'm bored,Ariana Grande,.
99,breathin,Ariana Grande,.
100,Dangerous Woman,Ariana Grande,.
101,Everyday,Ariana Grande,.
102,everytime,Ariana Grande,.
103,fake smile,Ariana Grande,.
104,God is a woman,Ariana Grande,.
105,goodnight n go,Ariana Grande,.
106,imagine,Ariana Grande,.
107,in my head,Ariana Grande,.
108,Into You,Ariana Grande,.
109,Love Me Harder,Ariana Grande,.
110,make up,Ariana Grande,.
111,NASA,Ariana Grande,.
112,needy,Ariana Grande,.
113,no tears left to cry,Ariana Grande,.
114,One Last Time,Ariana Grande,.
115,Problem,Ariana Grande,.
116,R.E.M,Ariana Grande,.
117,Side To Side,Ariana Grande,.
118,sweetener,Ariana Grande,.
119,thank u next,Ariana Grande,.
120,Like a Stone,Audioslave,.
121,Sweet but Psycho,Ava Max,.
122,Hey Brother,Avicii,.
123,Lonely Together (feat. Rita Ora),Avicii,.
124,The Nights,Avicii,.
125,Waiting For Love,Avicii,.
126,Wake Me Up,Avicii,.
127,Without You (feat. Sandro Cavazza),Avicii,.
128,Complicated,Avril Lavigne,.
129,Head Above Water,Avril Lavigne,.
